Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
176,142,61,1.01,787,Strength,23.8,2.5,4,2,26.32
184,145,64,1.2,834,Strength,24.5,2.5,3,1,23.58
180,146,63,1.13,731,HIIT,25.1,2.3,4,2,23.37
174,147,63,1.04,870,Strength,26.5,2.4,4,1,22.63
177,145,66,1.21,861,Cardio,26.2,3.0,3,1,23.58
174,145,65,1.17,985,Cardio,28.2,2.9,4,1,23.11
173,138,65,1.12,756,Strength,23.9,3.1,3,1,23.13
176,143,65,1.13,725,Yoga,21.5,2.1,3,2,23.47
173,146,64,1.38,658,Strength,23.9,1.9,3,1,22.74
173,146,63,1.15,768,Cardio,24.7,2.8,4,1,24.59
179,146,64,1.1,826,Yoga,24.6,2.8,3,1,24.99
173,148,64,1.19,742,Strength,26.9,2.6,4,1,24.81
179,147,61,0.78,808,Strength,24.7,2.4,3,1,26.84
171,142,67,1.23,909,HIIT,24.2,2.3,4,2,25.1
176,146,67,1.09,741,Strength,23.0,2.3,4,1,22.72
178,143,63,1.44,930,Strength,25.9,2.3,4,2,23.37
181,146,61,1.19,780,Strength,23.5,2.8,3,2,23.33
171,146,67,1.36,653,Yoga,23.4,2.5,4,2,24.75
175,141,64,1.06,896,Cardio,23.6,2.4,4,2,21.85
173,144,64,0.99,834,Strength,24.9,2.2,4,2,24.25
176,146,65,1.38,680,Strength,25.1,2.9,3,2,24.31
175,142,65,1.08,809,HIIT,24.4,2.1,3,1,25.58
175,143,66,1.05,748,Strength,26.1,2.3,4,1,24.25
176,141,64,0.91,821,HIIT,24.8,2.6,4,1,23.33
182,143,67,1.13,684,Strength,25.3,2.9,3,1,22.54
175,147,67,1.35,774,Strength,27.7,2.5,3,2,23.93
178,145,62,0.99,728,Strength,27.3,2.6,4,2,23.55
179,145,61,1.08,790,Yoga,25.9,2.4,3,1,25.53
168,143,66,1.47,911,HIIT,25.5,2.8,4,1,23.63
182,142,65,1.29,833,Yoga,25.9,2.9,3,2,23.2
174,149,58,1.45,834,Strength,25.8,2.2,3,2,24.8
173,143,61,1.09,701,HIIT,29.1,2.9,3,1,24.08
174,144,68,1.49,932,Strength,23.6,1.9,4,2,24.21
175,138,67,1.07,836,HIIT,19.7,2.2,3,2,22.5
170,141,68,1.27,692,Strength,22.3,2.7,4,2,25.35
174,146,65,1.25,726,Cardio,25.7,2.2,4,2,24.57
176,146,62,1.1,863,Cardio,21.1,2.6,3,2,22.39
179,141,63,1.32,774,HIIT,25.9,2.7,4,2,23.52
179,142,64,0.78,873,Cardio,26.3,2.1,5,2,23.1
180,144,65,1.29,798,HIIT,25.6,2.3,4,2,23.43
171,146,63,1.08,681,Cardio,23.9,2.0,3,1,25.9
176,151,68,1.22,883,HIIT,25.3,2.7,4,2,24.07
173,147,64,1.55,729,HIIT,24.4,2.4,4,2,21.71
178,142,65,1.1,755,HIIT,22.7,2.3,3,2,23.0
165,140,63,1.15,867,Cardio,24.9,2.7,4,2,23.49
179,147,63,1.24,710,HIIT,24.7,2.0,3,2,23.48
174,142,67,0.92,722,Cardio,24.3,2.7,4,2,23.4
181,141,64,0.85,818,HIIT,23.6,2.1,4,2,23.74
180,145,65,1.01,762,Yoga,24.5,2.1,3,1,23.42
166,149,63,1.15,857,Yoga,22.9,2.4,3,1,23.76
178,140,66,0.98,689,Yoga,24.1,2.6,3,2,24.51
173,144,63,1.34,889,Cardio,24.2,2.7,3,1,22.65
187,148,64,0.95,745,Yoga,24.0,2.8,3,1,24.99
181,144,65,1.56,914,Cardio,20.5,2.2,4,2,23.34
175,141,66,1.05,781,Cardio,25.5,2.6,4,2,23.57
172,144,65,1.42,576,HIIT,25.3,2.5,3,1,23.56
171,137,68,1.21,819,Strength,23.7,3.0,3,2,23.67
182,143,67,0.87,642,Cardio,19.9,2.0,3,2,22.22
172,145,61,1.27,758,Yoga,23.4,2.8,4,1,24.26
184,141,66,1.1,732,Strength,28.6,2.4,3,2,24.72
177,144,64,1.17,726,Yoga,21.0,2.2,3,2,23.92
173,151,65,0.96,661,Cardio,25.0,2.3,4,1,23.23
182,148,62,1.1,776,HIIT,27.7,2.5,4,1,23.6
176,148,65,1.19,907,Strength,27.4,2.4,4,2,24.06
178,146,65,1.12,669,Cardio,25.9,2.3,3,2,23.99
179,149,67,1.31,795,Yoga,25.1,2.6,4,1,23.88
169,145,61,1.26,817,Cardio,28.6,2.6,4,2,24.32
183,145,67,1.6,866,Cardio,24.0,2.5,2,1,26.29
180,141,64,1.38,764,Strength,26.5,3.0,4,1,24.35
173,142,65,1.41,827,Strength,20.8,2.0,4,2,22.69
173,147,63,0.99,691,Cardio,24.4,2.3,4,1,24.04
164,143,65,1.31,928,Cardio,21.1,3.0,4,2,23.08
176,146,63,1.12,813,Cardio,26.0,2.3,3,1,24.75
181,144,62,1.0,915,Cardio,24.6,2.2,3,2,24.4
173,141,68,1.15,684,HIIT,25.1,2.3,4,2,23.85
169,141,65,1.15,785,HIIT,24.3,2.2,3,1,23.99
168,147,62,1.26,773,Cardio,25.0,2.3,3,1,24.51
170,143,65,0.95,823,Cardio,25.5,3.1,4,2,25.62
173,142,63,1.3,782,Yoga,26.8,2.6,3,2,24.87
183,143,65,1.0,895,Cardio,24.3,2.2,4,2,24.32
174,143,59,1.37,784,Strength,22.6,2.4,3,1,23.03
174,141,67,1.21,763,HIIT,24.9,2.2,3,2,24.19
181,146,69,1.6,867,HIIT,26.1,2.5,4,1,23.06
175,142,63,1.52,749,Cardio,25.5,2.5,4,2,21.86
172,145,64,1.59,936,HIIT,25.2,2.2,3,2,22.95
174,148,63,0.75,814,Strength,24.6,2.2,3,1,23.01
176,147,63,1.48,1012,Strength,22.2,2.6,3,1,24.28
175,146,62,0.84,951,Yoga,22.5,2.2,3,1,24.61
171,145,65,1.59,871,HIIT,26.8,2.4,4,1,24.72
170,143,63,1.18,701,Yoga,27.2,1.7,4,2,26.23
160,143,63,1.33,600,Strength,27.7,2.6,3,2,24.31
182,145,64,0.94,686,Cardio,26.5,2.2,4,1,23.77
175,144,66,0.99,807,Strength,25.8,2.0,4,2,23.12
177,143,62,1.1,789,Strength,27.9,2.4,3,1,25.71
169,149,63,1.28,802,Strength,26.2,2.8,3,1,25.65
178,149,64,1.24,731,Strength,25.1,3.3,4,1,23.16
171,149,67,0.92,742,Cardio,21.5,2.7,3,2,23.22
172,144,62,1.16,783,HIIT,26.9,2.9,4,2,23.98
171,148,66,1.03,680,Cardio,25.5,2.5,4,2,23.68
179,142,64,1.55,724,Strength,20.9,2.9,2,1,25.38
173,142,64,1.78,647,HIIT,27.7,2.8,4,1,22.57
173,143,67,1.1,677,Strength,24.1,2.6,3,2,23.62
174,143,63,1.09,751,Yoga,26.1,2.7,3,1,24.08
171,145,65,1.2,824,HIIT,27.3,2.5,3,1,24.43
174,140,66,1.0,859,Cardio,26.8,3.0,3,1,25.13
179,139,64,1.17,710,Strength,26.7,2.6,4,1,22.63
172,145,62,1.2,817,Yoga,22.7,2.5,3,2,24.67
161,142,66,1.46,885,Strength,25.2,2.7,3,1,23.39
169,141,65,0.92,707,HIIT,23.6,2.3,3,2,22.32
174,141,62,1.22,789,Cardio,31.3,2.6,4,2,23.76
178,141,67,0.96,804,Strength,24.4,1.6,4,2,25.15
167,139,65,1.12,822,HIIT,23.6,2.7,3,1,24.62
180,142,66,1.32,905,Yoga,27.2,2.8,4,1,24.18
176,141,64,1.15,916,HIIT,23.5,1.7,3,2,24.48
179,147,65,1.06,683,HIIT,25.2,2.7,4,2,23.3
177,144,63,1.4,919,Yoga,25.1,2.7,3,1,23.91
164,144,62,1.7,801,Strength,25.4,2.1,4,1,26.99
174,146,69,0.92,822,Strength,23.4,3.0,4,1,23.73
175,141,68,0.89,717,Yoga,23.1,2.5,3,1,24.41
168,147,67,1.22,897,Strength,25.4,2.5,4,2,22.75
176,145,64,0.78,859,Cardio,26.0,2.1,4,2,24.56
174,145,64,1.33,754,Strength,25.5,2.3,4,2,23.5
175,143,65,1.61,691,Yoga,26.2,2.4,4,1,23.09
166,148,64,1.36,776,Strength,26.1,2.8,4,2,24.84
170,146,67,0.86,680,Cardio,28.1,2.7,4,2,24.23
178,147,64,1.63,671,Cardio,23.5,2.5,4,2,22.82
174,144,67,1.08,1054,Strength,30.2,3.0,4,2,24.24
169,144,67,1.15,738,Strength,22.9,2.2,4,1,24.88
176,143,64,1.01,622,Cardio,23.9,2.4,4,2,24.94
177,150,66,1.34,788,Cardio,24.9,3.2,4,2,23.91
172,146,68,1.06,888,HIIT,24.4,2.2,4,1,23.16
176,143,64,1.27,839,Cardio,27.4,2.6,2,1,24.06
171,143,66,0.88,800,Cardio,26.6,2.6,4,1,24.65
167,144,66,1.2,969,Yoga,29.0,2.4,3,1,23.33
183,147,65,1.28,818,Cardio,23.9,2.4,3,1,23.31
181,143,63,1.38,821,Yoga,25.4,2.4,3,2,24.52
167,146,60,1.31,773,HIIT,23.2,2.5,4,2,24.57
180,146,66,0.89,850,Cardio,24.8,2.1,3,1,23.46
175,146,63,1.03,786,HIIT,25.2,2.7,4,1,23.56
176,146,69,0.99,618,Cardio,25.6,2.7,4,1,24.12
174,144,65,1.0,794,Yoga,23.0,2.3,3,2,22.91
180,148,62,1.12,816,HIIT,22.6,2.0,4,2,23.9
174,144,68,1.3,988,Yoga,28.7,1.8,4,2,24.21
175,146,64,0.81,581,Yoga,26.3,2.6,3,1,23.28
168,142,62,1.43,930,Yoga,23.8,2.1,3,1,24.3
177,142,64,1.32,843,Strength,29.0,2.5,3,1,23.84
180,149,65,1.7,773,Strength,23.7,2.8,4,1,25.63
172,141,66,1.18,595,Yoga,26.0,2.7,3,1,22.66
175,147,62,1.01,723,Yoga,27.4,2.7,3,2,23.83
180,147,62,1.12,620,Cardio,27.8,2.5,4,2,25.69
173,146,66,1.16,773,Cardio,23.3,2.2,3,1,22.85
177,142,66,1.13,842,HIIT,21.5,2.5,3,2,22.56
182,145,64,1.16,749,Strength,25.2,2.5,4,2,23.12
174,149,65,1.24,953,Yoga,25.1,2.7,3,2,22.82
178,141,63,1.2,766,Strength,23.7,2.4,4,2,23.71
169,146,64,1.0,777,HIIT,22.3,2.9,2,1,23.39
170,145,65,1.09,848,Yoga,25.2,2.4,3,2,23.2
172,143,63,1.19,780,HIIT,25.4,3.0,3,2,22.47
176,142,65,1.05,740,Cardio,25.2,2.0,5,1,23.15
183,143,65,0.97,743,Strength,25.3,2.4,3,1,24.2
162,145,66,0.91,896,Strength,22.1,2.3,3,2,24.75
168,147,60,1.1,858,Cardio,23.8,2.3,4,1,24.51
176,141,67,1.04,911,Yoga,26.8,2.5,4,1,23.32
181,142,64,1.17,837,HIIT,21.5,2.6,3,2,25.98
171,145,63,1.44,1018,Yoga,25.1,2.0,3,1,22.71
178,148,68,1.34,896,HIIT,26.6,2.3,3,2,25.57
169,146,69,1.0,815,Strength,19.2,2.7,4,2,24.18
178,144,66,1.69,854,HIIT,24.0,3.2,3,1,23.37
165,139,64,1.12,860,Yoga,23.6,2.1,4,2,23.47
182,144,63,1.25,707,Cardio,25.6,2.6,5,2,23.49
163,146,66,1.08,727,Cardio,25.1,2.6,3,2,24.02
164,149,61,1.3,971,Cardio,25.6,2.6,4,1,24.53
177,148,64,1.47,726,Strength,24.8,2.6,3,2,24.89
166,146,61,0.95,849,Strength,24.9,2.1,4,2,24.49
172,144,62,1.34,533,HIIT,25.4,2.6,3,1,25.94
170,148,64,1.23,875,Strength,22.4,2.2,3,1,24.65
164,138,64,1.26,768,Yoga,25.7,2.7,3,2,23.63
177,149,63,1.09,841,Yoga,22.4,3.0,4,2,24.45
169,147,65,1.09,732,Strength,23.7,2.2,3,2,23.92
181,149,66,0.92,713,Strength,21.7,2.6,3,2,23.38
176,147,68,1.37,849,HIIT,26.4,2.3,3,2,25.47
177,143,67,0.96,693,Strength,24.3,2.2,3,2,25.14
176,146,61,1.25,748,Cardio,24.0,2.7,3,1,24.17
175,140,63,0.86,591,Yoga,25.0,2.9,2,2,25.37
172,143,66,1.23,889,Strength,26.8,2.4,4,1,24.21
178,140,66,0.99,825,HIIT,28.0,2.0,4,1,22.87
174,143,64,1.38,694,Yoga,24.2,2.0,3,2,25.19
176,142,69,1.1,874,HIIT,28.9,2.3,4,2,23.81
156,148,66,1.26,1031,HIIT,22.5,2.5,3,2,24.71
180,147,63,1.02,795,HIIT,21.9,2.8,3,1,24.31
180,148,65,1.07,822,Cardio,25.3,2.4,4,1,24.59
174,144,66,0.83,782,HIIT,26.0,2.2,4,2,23.37
167,144,62,1.15,825,HIIT,24.9,2.7,4,1,22.38
169,140,66,0.98,814,Yoga,24.1,2.3,3,2,23.82
177,145,63,1.2,718,Cardio,23.3,2.0,4,2,24.39
172,145,63,1.58,995,HIIT,23.5,2.5,4,1,24.03
176,145,64,1.03,819,Strength,22.2,2.3,4,1,22.24
172,147,62,1.08,834,Yoga,23.8,2.6,4,2,24.2
178,145,68,1.03,553,Yoga,24.4,2.6,4,1,22.73
170,145,63,1.25,723,HIIT,26.1,2.7,5,2,22.23
165,146,62,1.2,746,Strength,23.1,2.8,3,2,23.23
180,143,63,1.17,757,Strength,26.1,2.7,4,2,22.19
176,147,62,1.23,839,HIIT,25.9,2.0,4,1,24.13
173,138,66,1.11,661,HIIT,25.0,2.7,3,2,25.42
172,146,64,1.26,751,HIIT,26.1,2.7,3,2,25.02
185,147,63,1.55,799,Strength,22.6,3.0,3,2,24.29
177,146,68,1.15,676,HIIT,24.2,2.0,4,1,24.38
170,139,69,1.21,687,Yoga,26.4,2.4,5,2,23.15
174,144,67,1.0,949,Yoga,22.6,2.5,3,1,25.29
167,144,66,1.08,817,Yoga,25.9,2.5,4,1,24.23
173,144,61,1.1,955,Yoga,26.2,2.5,4,1,22.3
176,144,64,0.68,706,HIIT,24.1,3.2,3,1,24.5
165,145,65,1.08,829,Cardio,24.9,2.2,4,2,24.62
171,146,63,1.33,939,HIIT,24.0,2.3,3,1,22.69
178,148,65,1.39,772,HIIT,23.6,2.5,3,2,24.55
175,145,61,1.0,621,Cardio,27.6,2.4,3,1,24.3
178,140,61,1.28,756,HIIT,21.9,2.7,3,1,22.76
182,143,64,1.14,834,Cardio,23.3,2.2,4,1,24.84
177,148,66,1.14,753,HIIT,26.5,2.2,3,2,25.42
180,144,65,1.34,671,Cardio,24.3,2.1,3,1,25.17
173,145,64,1.36,740,HIIT,23.7,3.2,3,1,23.61
179,145,65,0.85,811,HIIT,26.2,2.9,3,2,23.66
172,143,62,0.97,928,Strength,24.1,2.3,4,1,23.78
176,146,65,1.45,676,HIIT,25.1,2.9,4,2,24.62
169,145,63,1.17,778,Yoga,25.8,1.9,3,2,24.06
167,145,65,1.29,834,Strength,22.4,2.7,3,1,23.66
175,143,64,1.11,862,Strength,22.7,2.6,3,2,24.81
179,144,67,1.33,711,HIIT,25.0,2.6,3,1,22.85
177,145,65,1.25,853,HIIT,26.4,2.2,4,2,22.66
176,144,65,0.97,915,Yoga,23.1,2.3,5,1,22.94
176,143,64,1.21,860,Cardio,23.1,2.4,3,2,23.95
171,143,64,1.03,644,Strength,23.6,2.5,4,2,22.76
179,145,66,0.91,691,Cardio,27.4,2.6,3,1,23.55
173,140,69,1.48,698,HIIT,27.8,2.4,3,2,23.2
180,147,65,1.57,919,HIIT,24.5,2.2,3,2,24.29
174,140,65,0.76,893,Yoga,25.7,2.0,4,2,23.37
174,149,64,1.19,819,Strength,24.0,2.6,2,2,23.98
176,145,64,1.25,660,HIIT,27.1,2.6,3,2,23.87
174,144,62,1.64,758,Yoga,24.7,2.7,3,2,24.05
177,145,61,1.43,806,Strength,25.7,2.4,4,2,24.2
175,141,67,1.05,667,HIIT,23.7,2.5,3,2,23.42
173,145,62,1.26,733,Cardio,25.2,2.7,4,2,22.17
181,149,65,1.12,797,Cardio,23.0,2.5,3,2,22.77
179,141,65,1.24,809,HIIT,24.7,2.7,4,1,24.39
181,144,64,1.04,725,HIIT,23.8,2.7,3,1,25.14
181,146,63,1.46,747,Yoga,23.8,2.5,4,1,24.74
177,152,64,1.22,733,HIIT,24.2,2.4,3,2,24.34
166,146,63,1.32,625,Cardio,24.0,2.4,3,2,23.61
175,144,68,1.26,779,Strength,28.2,2.8,4,1,22.19
176,145,65,1.48,710,HIIT,27.6,2.7,3,2,24.45
168,144,63,1.03,901,Cardio,26.5,2.8,3,2,23.42
180,148,65,1.1,813,HIIT,23.9,2.7,4,2,20.47
176,141,68,1.18,880,Strength,24.6,2.9,5,1,24.52
168,142,66,1.65,942,HIIT,21.3,2.4,3,2,23.69
173,143,65,1.28,773,HIIT,22.4,2.0,2,1,24.56
174,142,66,1.54,606,HIIT,21.3,2.7,3,2,24.71
183,144,63,1.37,848,Strength,25.3,2.7,4,1,24.46
161,147,66,1.34,857,Cardio,25.1,2.5,3,1,23.69
175,145,66,1.25,844,Strength,26.3,2.1,4,1,25.37
169,145,64,1.16,818,Yoga,25.4,2.5,4,2,23.48
168,143,64,1.49,791,Cardio,22.7,2.3,4,2,23.42
172,147,61,1.18,729,HIIT,24.5,3.0,3,1,24.42
181,142,65,1.15,702,HIIT,24.2,2.1,4,2,24.01
168,144,63,1.46,742,Strength,19.8,2.5,3,1,24.03
168,143,64,1.0,929,Yoga,26.4,2.1,4,2,23.65
180,145,65,1.06,764,Yoga,24.0,2.5,3,1,23.18
175,144,63,1.07,1002,HIIT,27.6,2.8,4,1,23.9
176,145,65,1.43,810,HIIT,21.7,2.5,3,1,24.86
171,146,65,1.52,940,Yoga,26.6,2.9,3,1,23.49
175,147,64,1.37,908,HIIT,23.4,2.3,3,2,26.18
175,145,62,1.7,608,Yoga,27.9,2.6,4,1,21.85
174,143,70,0.81,826,HIIT,26.6,2.3,4,2,25.47
171,141,65,1.23,796,Yoga,22.4,2.7,3,2,26.17
177,149,59,1.35,709,Yoga,26.5,2.5,3,2,24.49
168,144,60,1.36,816,Cardio,28.0,3.1,3,2,22.91
174,145,67,0.76,816,Cardio,21.7,2.5,3,1,24.19
176,139,65,1.33,869,Cardio,23.2,2.3,4,1,24.09
172,144,66,1.21,749,HIIT,23.1,2.8,4,2,24.78
166,146,66,0.87,833,Yoga,22.1,2.5,4,2,23.21
179,143,64,1.06,842,HIIT,25.0,2.2,4,2,24.66
174,147,62,1.5,828,Cardio,27.6,2.4,3,2,24.69
183,142,63,1.41,684,Strength,28.2,2.3,4,2,23.71
175,146,66,1.35,852,Cardio,22.6,2.5,4,2,24.7
178,140,66,1.36,776,HIIT,26.2,2.9,3,1,23.38
177,144,65,0.98,693,Cardio,25.8,2.7,3,1,24.4
171,141,63,1.34,681,Cardio,27.1,2.8,4,2,25.0
178,140,67,1.4,815,Yoga,22.7,2.9,4,2,22.92
164,145,64,1.6,935,Yoga,22.4,2.8,4,2,21.98
170,137,68,1.24,820,HIIT,25.6,2.4,4,1,23.68
172,147,65,1.54,767,Strength,29.6,2.3,4,2,25.0
173,140,63,1.47,732,Strength,24.5,2.9,4,2,24.21
176,144,66,1.3,918,HIIT,29.4,2.5,4,1,24.49
177,147,62,1.34,703,HIIT,25.9,2.1,4,1,23.26
169,140,64,1.16,798,Strength,29.3,2.9,4,2,25.51
179,144,61,1.13,822,Yoga,24.3,2.7,3,1,26.11
171,145,66,0.97,548,HIIT,22.8,2.4,5,1,25.12
182,144,64,1.27,939,Yoga,23.5,2.4,2,2,24.84
175,142,62,1.03,809,Strength,21.5,3.1,4,1,24.16
175,146,67,0.95,800,Strength,23.5,2.7,3,2,23.2
176,144,64,1.51,894,Strength,25.9,3.0,4,2,24.26
171,146,64,0.83,878,Strength,30.9,3.2,3,2,24.78
170,146,63,1.19,934,Strength,26.4,2.5,4,1,23.58
177,151,65,0.7,719,HIIT,24.8,2.5,4,1,23.38
175,142,63,1.18,893,HIIT,26.8,3.1,4,2,24.86
173,148,62,1.42,721,Strength,23.5,2.7,4,1,24.89
165,147,64,1.33,733,Yoga,26.6,2.6,4,1,23.32
180,142,63,1.56,799,Yoga,22.3,2.4,4,2,25.17
181,146,65,1.15,1051,Strength,24.2,2.6,4,2,26.34
170,151,63,1.07,655,Cardio,26.1,2.4,4,1,25.35
174,152,66,1.0,754,Strength,22.5,2.6,3,2,21.71
172,137,66,1.3,754,Yoga,28.1,2.5,5,2,24.37
175,145,66,1.1,893,HIIT,25.1,3.2,3,2,22.57
179,145,64,1.21,716,Yoga,25.9,2.3,3,1,22.78
177,144,63,1.4,893,Yoga,26.1,3.0,3,1,23.62
170,140,65,1.14,914,HIIT,22.1,2.8,4,2,24.63
172,141,64,1.09,698,HIIT,24.6,2.3,3,1,24.05
175,149,62,0.88,682,Strength,25.9,2.6,4,2,24.57
168,147,64,1.24,721,HIIT,25.3,2.7,4,1,24.32
175,143,64,1.37,816,Strength,25.5,2.3,4,1,24.19
170,147,63,0.93,864,Strength,25.2,2.5,3,1,24.36
180,140,66,1.25,821,Yoga,23.7,2.6,4,2,24.64
173,149,64,1.25,862,HIIT,22.4,2.7,3,2,23.47
175,146,67,1.31,890,Cardio,22.6,2.3,3,2,24.44
169,143,63,1.15,787,Cardio,23.9,2.5,3,2,23.62
169,138,64,1.06,976,HIIT,22.6,2.7,4,1,24.41
176,140,66,1.6,865,Yoga,21.0,2.4,4,1,24.83
171,142,66,1.15,792,Strength,22.9,3.1,4,1,24.31
173,148,66,1.0,798,HIIT,26.7,2.2,3,2,25.91
174,144,65,1.25,805,Yoga,29.4,2.2,3,2,22.52
176,143,63,1.4,717,Strength,24.1,2.3,3,2,25.84
184,147,66,1.15,764,HIIT,22.8,2.3,4,1,24.65
174,146,68,1.22,559,Strength,18.5,1.9,3,2,24.38
174,145,64,1.38,819,Yoga,25.0,2.3,3,2,25.6
170,142,65,1.06,1019,Yoga,22.1,2.8,4,2,21.43
185,141,59,1.08,714,Cardio,25.2,2.7,3,2,24.24
174,142,62,1.34,743,Cardio,22.7,2.6,4,2,24.18
179,147,63,0.99,829,HIIT,25.9,2.5,5,1,23.18
172,145,65,1.41,771,HIIT,26.5,2.9,2,1,23.37
186,146,65,1.11,674,Cardio,26.8,2.2,3,2,23.48
174,144,67,1.23,656,HIIT,26.0,2.5,3,2,22.73
171,139,65,1.05,879,Yoga,21.1,2.4,4,2,23.33
178,150,67,0.92,924,Cardio,22.0,2.6,4,1,23.33
177,146,66,1.06,914,Cardio,22.9,2.7,4,2,24.56
175,139,62,1.36,902,Strength,26.1,2.7,3,2,21.23
176,146,64,1.2,687,Strength,24.9,2.7,4,2,24.35
168,149,64,1.39,936,Yoga,23.7,1.9,4,1,23.52
177,144,64,1.06,744,Strength,28.8,2.8,3,1,22.57
172,140,65,1.53,859,HIIT,27.4,2.5,4,2,24.47
171,151,63,1.15,674,Yoga,24.5,2.3,4,2,24.24
182,142,65,1.25,968,Yoga,25.5,2.5,3,1,24.06
177,147,68,1.1,725,Yoga,24.9,2.7,3,1,24.44
175,146,68,0.97,619,HIIT,24.7,2.9,4,1,22.63
178,146,68,1.24,737,Cardio,24.7,2.3,4,1,22.8
180,148,65,1.06,808,Strength,23.1,2.6,3,1,24.05
181,146,65,1.06,786,HIIT,29.0,2.5,4,2,24.28
184,143,62,1.57,802,Cardio,22.5,2.2,3,2,23.67
180,140,65,0.88,792,Yoga,26.2,2.6,3,2,23.51
179,141,63,1.27,777,HIIT,21.7,2.8,4,2,23.87
168,140,65,1.41,667,Cardio,25.2,2.3,3,1,24.23
171,145,67,1.2,649,Yoga,26.6,3.1,4,2,24.81
178,141,63,1.63,649,HIIT,24.4,2.6,3,2,23.63
182,145,66,1.53,674,Strength,24.5,2.3,3,1,24.74
176,149,64,0.9,677,Strength,24.6,2.2,4,2,24.68
174,145,63,0.91,726,Yoga,26.2,2.5,4,1,25.2
174,143,64,1.34,772,Yoga,27.2,2.6,4,2,23.69
180,145,64,0.85,697,Yoga,20.9,2.6,3,1,23.43
169,146,65,1.41,741,Yoga,22.2,2.4,4,2,23.03
170,141,67,1.31,942,Cardio,24.9,2.0,4,2,24.19
176,139,67,1.22,732,Yoga,22.3,2.7,4,2,24.02
181,145,63,1.54,714,Strength,24.5,2.7,4,1,24.59
177,145,63,1.16,791,Strength,25.6,2.7,3,1,23.71
174,143,68,1.46,888,HIIT,25.2,2.5,3,1,25.97
170,146,66,1.59,769,Yoga,22.2,2.2,4,2,25.96
177,144,67,1.21,819,Strength,23.3,2.3,4,2,24.84
168,142,64,1.29,852,Strength,28.3,3.1,4,1,24.28
173,143,65,1.34,603,HIIT,23.3,2.7,4,1,24.43
173,146,63,1.01,811,Yoga,26.5,2.6,4,1,23.51
176,145,66,0.84,814,Strength,23.1,2.5,4,1,24.68
166,148,62,1.46,788,HIIT,23.3,2.7,4,1,24.08
172,140,66,1.01,845,Cardio,25.5,2.2,4,1,22.88
176,147,66,1.36,901,Strength,21.9,2.8,3,2,23.1
176,147,61,1.4,838,HIIT,26.6,2.3,4,2,25.7
179,148,61,1.24,656,HIIT,24.0,3.2,3,2,25.34
183,148,66,0.9,670,Yoga,24.4,2.5,3,1,23.09
175,142,63,1.13,601,Strength,26.8,2.3,4,2,23.32
177,140,64,1.17,616,Cardio,24.9,3.2,3,1,23.46
177,144,65,1.11,811,Yoga,27.4,2.2,3,1,24.83
175,146,67,1.27,871,Yoga,26.0,2.1,4,2,22.72
164,146,68,1.1,697,Yoga,24.5,2.8,4,2,25.34
172,145,66,1.32,775,HIIT,22.4,2.9,3,1,23.78
178,139,65,0.74,839,HIIT,22.6,2.0,4,1,25.95
173,146,64,1.5,650,HIIT,25.5,2.5,4,1,25.12
177,142,61,1.16,781,Cardio,27.5,1.9,4,1,23.86
178,150,67,1.12,847,HIIT,27.7,2.6,4,1,24.61
172,149,62,1.32,835,Cardio,21.4,2.9,4,1,22.97
173,142,64,1.29,720,HIIT,22.5,2.6,3,1,24.21
175,141,62,1.33,753,Strength,23.8,2.8,4,1,23.12
169,146,65,1.38,991,Strength,27.2,2.1,4,1,23.71
170,138,63,1.16,798,HIIT,28.2,2.0,4,2,24.33
171,142,59,1.03,733,HIIT,22.9,2.4,4,2,24.65
179,150,66,1.01,855,Strength,28.5,2.0,4,1,25.08
182,145,63,1.07,803,HIIT,24.7,2.7,4,1,23.37
176,142,64,1.08,941,Yoga,26.0,2.4,3,1,23.44
176,145,67,1.69,724,Strength,23.9,2.5,4,2,22.95
172,150,65,1.44,840,Cardio,23.7,2.9,4,1,23.46
173,144,68,1.19,670,HIIT,26.9,3.0,3,1,24.73
176,144,62,1.17,603,Yoga,22.4,3.1,3,1,25.42
173,143,64,1.17,848,HIIT,20.5,2.8,3,1,25.29
169,142,64,1.18,673,HIIT,26.1,2.5,2,2,26.08
181,146,66,1.25,801,Strength,19.0,2.6,3,1,24.9
175,150,64,1.41,736,Cardio,25.7,2.4,4,1,22.43
174,149,68,1.1,884,HIIT,24.5,2.2,3,2,25.0
186,142,64,1.5,863,Cardio,26.1,2.4,3,1,24.58
172,143,64,0.94,813,HIIT,21.5,2.6,3,2,24.75
178,140,64,1.06,733,Strength,22.1,2.4,4,2,23.43
172,147,65,0.87,1012,Cardio,26.9,2.8,3,2,22.41
168,144,64,1.34,735,Yoga,23.6,3.0,4,2,23.74
179,144,62,1.08,581,HIIT,23.6,3.2,4,1,24.39
176,145,68,1.38,849,HIIT,23.4,2.5,4,2,23.21
167,145,67,0.99,555,Cardio,29.0,2.4,4,1,22.83
183,145,65,1.34,665,HIIT,25.5,2.8,3,1,21.64
180,148,66,1.05,908,Yoga,27.5,2.7,4,2,23.69
177,148,66,1.11,903,HIIT,24.0,2.1,3,1,22.64
176,147,67,0.86,914,Strength,28.6,2.8,3,2,23.09
